BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate
1,295847284,adventure-works\ken0,,,Chief Executive Officer,1969-01-29,S,M,2009-01-14,1,99,69,1,F01251E5-96A3-448D-981E-0F99D789110D,Jun 30 2014 12:00AM
2,245797967,adventure-works\terri0,/1/,1,Vice President of Engineering,1971-08-01,S,F,2008-01-31,1,1,20,1,45E8F437-670D-4409-93CB-F9424A40D6EE,Jun 30 2014 12:00AM
3,509647174,adventure-works\roberto0,/1/1/,2,Engineering Manager,1974-11-12,M,M,2007-11-11,1,2,21,1,9BBBFB2C-EFBB-4217-9AB7-F97689328841,Jun 30 2014 12:00AM
4,112457891,adventure-works\rob0,/1/1/1/,3,Senior Tool Designer,1974-12-23,S,M,2007-12-05,0,48,80,1,59747955-87B8-443F-8ED4-F8AD3AFDF3A9,Jun 30 2014 12:00AM
5,695256908,adventure-works\gail0,/1/1/2/,3,Design Engineer,1952-09-27,M,F,2008-01-06,1,5,22,1,EC84AE09-F9B8-4A15-B4A9-6CCBAB919B08,Jun 30 2014 12:00AM
6,998320692,adventure-works\jossef0,/1/1/3/,3,Design Engineer,1959-03-11,M,M,2008-01-24,1,6,23,1,E39056F1-9CD5-478D-8945-14ACA7FBDCDD,Jun 30 2014 12:00AM
7,134969118,adventure-works\dylan0,/1/1/4/,3,Research and Development Manager,1987-02-24,M,M,2009-02-08,1,61,50,1,4F46DECA-EF01-41FD-9829-0ADAB368E431,Jun 30 2014 12:00AM
8,811994146,adventure-works\diane1,/1/1/4/1/,4,Research and Development Engineer,1986-06-05,S,F,2008-12-29,1,62,51,1,31112635-663B-4018-B4A2-A685C0BF48A4,Jun 30 2014 12:00AM
9,658797903,adventure-works\gigi0,/1/1/4/2/,4,Research and Development Engineer,1979-01-21,M,F,2009-01-16,1,63,51,1,50B6CDC6-7570-47EF-9570-48A64B5F2ECF,Jun 30 2014 12:00AM
10,879342154,adventure-works\michael6,/1/1/4/3/,4,Research and Development Manager,1984-11-30,M,M,2009-05-03,1,16,64,1,EAA43680-5571-40CB-AB1A-3BF68F04459E,Jun 30 2014 12:00AM
11,974026903,adventure-works\ovidiu0,/1/1/5/,3,Senior Tool Designer,1978-01-17,S,M,2010-12-05,0,7,23,1,F68C7C19-FAC1-438C-9BB7-AC33FCC341C3,Jun 30 2014 12:00AM
12,480168528,adventure-works\thierry0,/1/1/5/1/,4,Tool Designer,1959-07-29,M,M,2007-12-11,0,9,24,1,1D955171-E773-4FAD-8382-40FD898D5D4D,Jun 30 2014 12:00AM
