BusinessEntityID,CreditCardID,ModifiedDate
293,17038,Jul 31 2013 12:00AM
295,15369,Aug  1 2011 12:00AM
297,8010,Aug  1 2011 12:00AM
299,5316,Jul 31 2013 12:00AM
301,6653,May 31 2011 12:00AM
303,9010,Jul 31 2012 12:00AM
305,8937,May 31 2011 12:00AM
307,16124,Oct 30 2012 12:00AM
309,9478,Jul  1 2011 12:00AM
311,17600,Aug  1 2011 12:00AM
313,1970,Jun 30 2013 12:00AM
315,8274,Jul 31 2013 12:00AM
317,13045,May 31 2011 12:00AM
319,13601,Aug  1 2011 12:00AM
323,5958,Jul 31 2012 12:00AM
325,10709,May 30 2012 12:00AM
327,126,Jul 31 2013 12:00AM
329,6626,May 30 2013 12:00AM
331,14963,Jun 30 2012 12:00AM
333,18100,Aug  1 2011 12:00AM
335,12823,Mar 30 2013 12:00AM
337,11434,Jun 30 2013 12:00AM
339,13160,Jul  1 2011 12:00AM
341,3787,Oct 31 2011 12:00AM
343,8979,Jul  1 2011 12:00AM
345,14729,Jul  1 2011 12:00AM
347,6264,Jul  1 2011 12:00AM
349,2273,Jul 31 2013 12:00AM
351,18154,Jun 30 2012 12:00AM
353,18257,Jul 31 2013 12:00AM
355,14184,Jul  1 2011 12:00AM
357,11472,Jun 30 2013 12:00AM
359,10785,Jun 30 2013 12:00AM
361,4215,Aug  1 2011 12:00AM
363,2396,Jun 30 2013 12:00AM
365,4983,May 30 2012 12:00AM
367,1660,Jul  1 2011 12:00AM
369,17861,Jul  1 2011 12:00AM
371,15321,Jul  1 2011 12:00AM
373,3756,Jun 30 2013 12:00AM
375,14486,Aug  1 2011 12:00AM
377,16441,Jun 30 2013 12:00AM
379,10338,Jul 31 2013 12:00AM
381,4173,Jul 31 2012 12:00AM
383,18570,Jul 31 2013 12:00AM
385,9102,Jul 31 2012 12:00AM
387,626,Oct 31 2011 12:00AM
389,5409,Aug 30 2012 12:00AM
391,2337,May 31 2011 12:00AM
393,5262,Jul 31 2013 12:00AM
397,6272,Jul 31 2012 12:00AM
405,11945,Oct 30 2012 12:00AM
407,14938,Jul 31 2013 12:00AM
409,6306,Jun 30 2013 12:00AM
411,181,Jul  1 2011 12:00AM
413,17315,Jun 30 2012 12:00AM
417,13667,Oct  1 2011 12:00AM
419,12491,Jun 30 2013 12:00AM
421,18295,Jun 30 2012 12:00AM
427,12189,Jun 30 2012 12:00AM
429,16173,Feb 28 2013 12:00AM
431,10057,Jul 31 2012 12:00AM
435,10187,Jun 30 2013 12:00AM
437,5528,Jul  1 2011 12:00AM
439,7083,May 31 2011 12:00AM
441,12492,Jul 31 2013 12:00AM
443,7657,Jul 31 2013 12:00AM
445,1977,Jul 31 2013 12:00AM
449,9647,Jul 31 2013 12:00AM
451,1684,Oct  1 2011 12:00AM
453,1163,Oct  1 2011 12:00AM
455,11087,Jun 30 2013 12:00AM
463,3513,Jul 31 2013 12:00AM
465,11282,Jul  1 2011 12:00AM
471,14489,Jul 31 2012 12:00AM
473,9772,Jun 30 2012 12:00AM
475,7777,Jun 30 2013 12:00AM
477,7293,Aug  1 2011 12:00AM
479,14814,Jul 31 2013 12:00AM
481,10832,Jun 30 2013 12:00AM
483,4322,May 31 2011 12:00AM
487,18017,May 31 2011 12:00AM
489,7527,Jun 30 2013 12:00AM
491,9458,Jul 31 2012 12:00AM
493,13917,Jul  1 2011 12:00AM
495,242,May 31 2011 12:00AM
497,14363,Jul  1 2011 12:00AM
501,17699,Jul 31 2013 12:00AM
503,8394,Jul 31 2012 12:00AM
505,3490,Jul 31 2012 12:00AM
507,12316,Jun 30 2013 12:00AM
509,6442,Jul 31 2012 12:00AM
511,319,Aug  1 2011 12:00AM
513,6920,Aug 30 2013 12:00AM
515,12857,Jul 31 2012 12:00AM
517,15232,May 31 2011 12:00AM
519,4524,Aug  1 2011 12:00AM
521,1359,Jul  1 2011 12:00AM
523,4789,Oct  1 2011 12:00AM
525,1803,Jul 31 2012 12:00AM
527,972,Oct  1 2011 12:00AM
531,16467,Jun 30 2013 12:00AM
533,1906,May 30 2012 12:00AM
535,15842,Oct  1 2011 12:00AM
537,17164,May 30 2013 12:00AM
539,1308,Jun 30 2012 12:00AM
541,3392,May 30 2013 12:00AM
543,17368,Aug  1 2011 12:00AM
545,8522,Jun 30 2012 12:00AM
547,6340,May 30 2012 12:00AM
549,16065,May 30 2013 12:00AM
551,19204,May 31 2011 12:00AM
553,15195,Jun 30 2013 12:00AM
555,15487,Jun 30 2012 12:00AM
557,4052,May 30 2012 12:00AM
559,2741,Jul 31 2012 12:00AM
561,3318,Jun 30 2012 12:00AM
563,11110,May 30 2013 12:00AM
565,17281,Jul 31 2013 12:00AM
567,18868,May 30 2012 12:00AM
569,16021,May 30 2012 12:00AM
573,14612,May 31 2011 12:00AM
577,4727,Jul 31 2013 12:00AM
579,15924,Jun 30 2013 12:00AM
581,17540,Jun 30 2013 12:00AM
583,3235,May 31 2011 12:00AM
585,5758,Oct  1 2011 12:00AM
587,13536,Jul 31 2013 12:00AM
589,18717,May 30 2012 12:00AM
591,1566,May 31 2011 12:00AM
595,12715,Jun 30 2013 12:00AM
597,17277,Jun 30 2012 12:00AM
599,10270,Jul  1 2011 12:00AM
601,17923,Jun 30 2012 12:00AM
603,553,Jun 30 2012 12:00AM
607,5577,Jul  1 2011 12:00AM
609,5514,Sep 30 2012 12:00AM
611,7829,Aug  1 2011 12:00AM
613,17308,May 30 2013 12:00AM
615,204,Jul  1 2011 12:00AM
617,2602,Jul 31 2013 12:00AM
619,6863,Sep 30 2012 12:00AM
621,15954,Jun 30 2012 12:00AM
623,10502,Jul 31 2013 12:00AM
625,11580,Jul 31 2013 12:00AM
627,5589,Jun 30 2012 12:00AM
629,3764,May 30 2013 12:00AM
631,13278,Aug  1 2011 12:00AM
633,13923,Jun 30 2012 12:00AM
635,2847,May 30 2013 12:00AM
637,2270,Jul 31 2012 12:00AM
639,2604,May 30 2012 12:00AM
641,5164,Aug  1 2011 12:00AM
643,18460,Jul 31 2013 12:00AM
647,4357,Aug  1 2011 12:00AM
649,5751,Jun 30 2012 12:00AM
651,4830,May 30 2013 12:00AM
653,7600,Aug  1 2011 12:00AM
655,16192,Jun 30 2013 12:00AM
657,6468,Jul 31 2012 12:00AM
659,9961,Jul 31 2013 12:00AM
661,13054,May 31 2011 12:00AM
663,17774,May 30 2012 12:00AM
665,16805,May 30 2013 12:00AM
667,778,Aug  1 2011 12:00AM
669,14842,May 30 2013 12:00AM
671,19154,Aug  1 2011 12:00AM
675,230,Jul 31 2013 12:00AM
681,12529,Jul 31 2013 12:00AM
683,14497,May 30 2012 12:00AM
685,14064,Aug  1 2011 12:00AM
687,8342,May 30 2013 12:00AM
689,15364,Jun 30 2013 12:00AM
691,1912,May 30 2012 12:00AM
693,17935,Aug  1 2011 12:00AM
695,18328,Jul 31 2013 12:00AM
697,5301,May 31 2011 12:00AM
699,10526,Jun 30 2012 12:00AM
701,15282,Jul 31 2012 12:00AM
703,7167,Jul  1 2011 12:00AM
705,11274,Jun 30 2013 12:00AM
707,7832,Jun 30 2013 12:00AM
709,14371,Jun 30 2012 12:00AM
713,16871,Oct  1 2011 12:00AM
715,12135,Oct 31 2011 12:00AM
717,16939,May 30 2013 12:00AM
719,18908,May 30 2013 12:00AM
721,5618,May 31 2011 12:00AM
723,18407,Aug  1 2011 12:00AM
725,17073,Oct 31 2011 12:00AM
727,18323,Jul  1 2011 12:00AM
729,14261,Jul 31 2013 12:00AM
731,12554,Jun 30 2012 12:00AM
733,15829,Jul 31 2012 12:00AM
735,1039,May 30 2013 12:00AM
737,18049,Jul  1 2011 12:00AM
739,17658,Aug  1 2011 12:00AM
741,18502,Aug 31 2011 12:00AM
743,10336,May 30 2012 12:00AM
745,3827,Jun 30 2012 12:00AM
751,17669,Aug  1 2011 12:00AM
753,7092,Aug  1 2011 12:00AM
757,10553,Jul 31 2013 12:00AM
759,11781,Jul  1 2011 12:00AM
761,3070,May 30 2012 12:00AM
763,7392,Aug  1 2011 12:00AM
765,15443,Jun 30 2012 12:00AM
767,923,May 30 2012 12:00AM
769,11046,May 30 2013 12:00AM
771,4931,May 30 2013 12:00AM
773,5824,Jul 31 2013 12:00AM
775,11080,Jul 31 2012 12:00AM
777,11201,Apr 30 2012 12:00AM
779,11745,Jul  1 2011 12:00AM
781,10064,Jun 30 2012 12:00AM
783,9628,Jul 31 2013 12:00AM
785,17544,Jul 31 2012 12:00AM
787,18496,Aug  1 2011 12:00AM
789,15090,Jul  1 2011 12:00AM
791,17902,May 30 2012 12:00AM
793,6452,Jul  1 2011 12:00AM
795,14546,Jun 30 2013 12:00AM
797,7597,Jul 31 2012 12:00AM
799,3047,Aug  1 2011 12:00AM
801,10783,Jul 31 2012 12:00AM
803,12214,Aug  1 2011 12:00AM
805,17062,Aug  1 2011 12:00AM
807,18231,Jun 30 2012 12:00AM
809,11622,Jun 30 2013 12:00AM
811,6065,Aug  1 2011 12:00AM
813,18875,Aug  1 2011 12:00AM
815,13468,Jul  1 2011 12:00AM
817,15882,Jul  1 2011 12:00AM
819,12399,May 31 2011 12:00AM
821,16523,Sep 30 2012 12:00AM
823,16023,Jul 31 2013 12:00AM
825,19078,Aug  1 2011 12:00AM
827,12698,Aug  1 2011 12:00AM
829,15616,Jun 30 2013 12:00AM
831,6126,Jul  1 2011 12:00AM
833,12648,Jun 30 2013 12:00AM
835,5346,Oct 30 2012 12:00AM
837,12015,Jun 30 2013 12:00AM
839,9043,Oct  1 2011 12:00AM
841,8015,Jan 29 2014 12:00AM
843,6235,Oct 30 2012 12:00AM
845,161,Jul  1 2011 12:00AM
847,6940,Jun 30 2012 12:00AM
849,7604,Aug  1 2011 12:00AM
851,1346,May 31 2011 12:00AM
853,8213,Jul 31 2013 12:00AM
855,11874,Jul 31 2013 12:00AM
857,19143,May 30 2013 12:00AM
859,18174,Jul 31 2013 12:00AM
861,10146,Jul 31 2012 12:00AM
863,18813,Aug  1 2011 12:00AM
867,16967,Jul 31 2013 12:00AM
869,11011,Jul  1 2011 12:00AM
871,3465,Jul 31 2012 12:00AM
873,12,May 30 2012 12:00AM
875,8579,May 30 2013 12:00AM
877,7146,Aug  1 2011 12:00AM
879,15538,May 31 2011 12:00AM
881,11555,Aug  1 2011 12:00AM
883,6675,Jul  1 2011 12:00AM
885,13480,Jul 31 2012 12:00AM
887,5099,May 30 2013 12:00AM
889,5995,Sep 30 2013 12:00AM
891,15319,Jun 30 2012 12:00AM
893,4511,May  1 2014 12:00AM
895,6955,Aug  1 2011 12:00AM
897,2759,Oct  1 2011 12:00AM
899,13246,Jul  1 2011 12:00AM
901,18591,Jul 31 2012 12:00AM
903,76,May 31 2011 12:00AM
905,17748,Jul 31 2013 12:00AM
907,5439,May 31 2011 12:00AM
909,14599,Jul 31 2013 12:00AM
911,3498,Jul 31 2012 12:00AM
913,11717,Jul  1 2011 12:00AM
915,15076,Jun 30 2012 12:00AM
919,10919,Dec 31 2012 12:00AM
921,8965,Aug 30 2013 12:00AM
923,15586,Dec  1 2011 12:00AM
925,17132,Aug  1 2011 12:00AM
927,782,Jul 31 2012 12:00AM
929,11441,May 30 2012 12:00AM
931,14562,May 30 2012 12:00AM
