BusinessEntityID,PhoneNumber,PhoneNumberTypeID,ModifiedDate
1,697-555-0142,1,Jan  7 2009 12:00AM
2,819-555-0175,3,Jan 24 2008 12:00AM
3,212-555-0187,1,Nov  4 2007 12:00AM
4,612-555-0100,1,Nov 28 2007 12:00AM
5,849-555-0139,1,Dec 30 2007 12:00AM
6,122-555-0189,3,Dec 16 2013 12:00AM
7,181-555-0156,3,Feb  1 2009 12:00AM
8,815-555-0138,1,Dec 22 2008 12:00AM
9,185-555-0186,1,Jan  9 2009 12:00AM
10,330-555-2568,3,Apr 26 2009 12:00AM
11,719-555-0181,1,Nov 28 2010 12:00AM
12,168-555-0183,3,Dec  4 2007 12:00AM
13,473-555-0117,3,Dec 16 2010 12:00AM
14,465-555-0156,1,Dec 23 2010 12:00AM
15,970-555-0138,1,Jan 11 2011 12:00AM
16,913-555-0172,3,Dec 13 2007 12:00AM
17,150-555-0189,1,Jan 19 2007 12:00AM
18,486-555-0150,3,Jan 31 2011 12:00AM
19,124-555-0114,1,Feb  7 2011 12:00AM
20,708-555-0141,3,Dec 31 2010 12:00AM
21,138-555-0118,1,Feb 23 2009 12:00AM
22,399-555-0176,3,Dec  5 2008 12:00AM
23,531-555-0183,3,Jan  5 2009 12:00AM
24,510-555-0121,3,Jan 11 2009 12:00AM
25,870-555-0122,3,Jan 27 2009 12:00AM
26,913-555-0196,3,Nov 24 2008 12:00AM
27,632-555-0129,1,Feb 20 2008 12:00AM
28,320-555-0195,3,Jun 23 2006 12:00AM
29,417-555-0154,3,Jan 16 2009 12:00AM
30,955-555-0169,1,Jan 22 2009 12:00AM
31,818-555-0128,1,Dec 28 2008 12:00AM
32,314-555-0113,1,Dec 22 2008 12:00AM
33,499-555-0125,3,Dec 10 2008 12:00AM
34,753-555-0129,1,Feb  9 2009 12:00AM
35,429-555-0137,1,Feb  1 2009 12:00AM
36,587-555-0115,1,Feb  3 2009 12:00AM
37,315-555-0144,1,Feb 28 2009 12:00AM
38,208-555-0114,1,Jan  9 2010 12:00AM
39,919-555-0140,3,Jan 29 2010 12:00AM
40,903-555-0145,3,Dec 19 2007 12:00AM
41,712-555-0113,1,Jan 14 2009 12:00AM
42,119-555-0117,1,Dec 20 2008 12:00AM
43,970-555-0118,1,Dec 26 2008 12:00AM
44,963-555-0134,3,Dec  1 2008 12:00AM
45,278-555-0118,1,Feb 19 2009 12:00AM
46,173-555-0179,1,Feb  1 2009 12:00AM
47,908-555-0159,1,Feb 15 2009 12:00AM
48,145-555-0130,1,Dec 30 2007 12:00AM
49,206-555-0180,3,Nov 29 2013 12:00AM
50,424-555-0189,3,Jan 26 2008 12:00AM
51,984-555-0185,3,Feb 13 2008 12:00AM
52,328-555-0150,1,Jan 31 2014 12:00AM
53,202-555-0151,1,Mar 21 2008 12:00AM
54,264-555-0150,3,Dec 25 2009 12:00AM
55,508-555-0165,3,Dec 31 2013 12:00AM
56,869-555-0119,1,Jan 29 2009 12:00AM
57,167-555-0139,3,Feb 16 2009 12:00AM
58,138-555-0128,3,Nov 28 2008 12:00AM
59,611-555-0116,3,Dec 17 2008 12:00AM
60,768-555-0123,1,Jan  4 2009 12:00AM
61,361-555-0180,3,Jan 11 2009 12:00AM
62,435-555-0113,3,Feb  7 2014 12:00AM
63,237-555-0128,1,Jan 22 2010 12:00AM
64,582-555-0148,1,Feb 16 2010 12:00AM
65,961-555-0122,1,Feb 16 2010 12:00AM
66,447-555-0186,3,Dec 15 2009 12:00AM
67,407-555-0165,3,Feb 26 2009 12:00AM
68,931-555-0118,3,Nov 26 2009 12:00AM
69,712-555-0170,3,Feb  8 2009 12:00AM
70,712-555-0119,3,Dec  8 2008 12:00AM
71,156-555-0199,1,Feb  8 2009 12:00AM
72,925-555-0114,3,Nov 24 2008 12:00AM
73,688-555-0192,1,Dec 12 2008 12:00AM
74,199-555-0117,3,Dec 31 2008 12:00AM
75,984-555-0148,3,Jan 19 2009 12:00AM
76,609-555-0153,1,Feb  5 2009 12:00AM
77,224-555-0187,3,Feb 24 2009 12:00AM
78,191-555-0112,3,Dec  8 2008 12:00AM
79,680-555-0118,1,Jan 17 2010 12:00AM
80,166-555-0156,3,Jan 10 2010 12:00AM
81,733-555-0128,3,Dec 22 2009 12:00AM
82,521-555-0113,1,Feb 24 2010 12:00AM
83,425-555-0117,1,Feb  5 2010 12:00AM
84,203-555-0196,3,Jan 29 2010 12:00AM
85,730-555-0117,1,Dec  4 2009 12:00AM
86,208-555-0114,3,Dec 29 2008 12:00AM
87,434-555-0133,1,Dec 15 2008 12:00AM
88,405-555-0171,1,Dec 11 2009 12:00AM
89,413-555-0124,1,Jan 25 2010 12:00AM
90,500-555-0172,1,Feb 13 2010 12:00AM
91,123-555-0167,3,Jan  5 2010 12:00AM
92,295-555-0161,3,Mar  3 2010 12:00AM
93,999-555-0155,3,Dec 20 2008 12:00AM
94,786-555-0144,3,Dec  5 2008 12:00AM
95,679-555-0113,3,Dec 12 2008 12:00AM
96,318-555-0137,1,Feb 23 2009 12:00AM
97,140-555-0132,3,Feb  3 2009 12:00AM
98,990-555-0172,1,Feb  4 2009 12:00AM
99,913-555-0184,1,Dec 30 2008 12:00AM
100,582-555-0178,1,Jan  5 2009 12:00AM
101,180-555-0136,1,Jan 18 2009 12:00AM
102,113-555-0173,1,Nov 26 2008 12:00AM
103,202-555-0187,1,Nov 29 2009 12:00AM
104,283-555-0185,3,Dec 18 2009 12:00AM
105,555-555-0113,3,Dec 18 2009 12:00AM
106,254-555-0114,3,Feb 20 2010 12:00AM
107,153-555-0166,1,Feb  1 2010 12:00AM
108,794-555-0159,1,Dec  1 2008 12:00AM
109,333-555-0173,1,Nov 30 2008 12:00AM
110,299-555-0113,3,Dec  7 2008 12:00AM
111,932-555-0161,3,Dec 10 2008 12:00AM
112,172-555-0130,1,Dec 25 2008 12:00AM
113,612-555-0171,1,Dec 18 2008 12:00AM
114,637-555-0120,3,Jan  6 2009 12:00AM
115,150-555-0194,1,Jan 13 2009 12:00AM
116,441-555-0195,3,Jan 24 2009 12:00AM
117,559-555-0175,3,Feb 11 2009 12:00AM
118,100-555-0174,3,Feb  6 2009 12:00AM
119,817-555-0186,3,Feb 18 2009 12:00AM
120,785-555-0132,3,Feb 25 2009 12:00AM
121,577-555-0185,3,Dec 26 2008 12:00AM
122,943-555-0196,3,Nov 30 2008 12:00AM
123,937-555-0137,3,Nov 30 2008 12:00AM
124,309-555-0129,3,Dec 19 2008 12:00AM
125,139-555-0120,1,Jan 13 2009 12:00AM
126,927-555-0168,1,Feb 19 2009 12:00AM
127,986-555-0177,1,Dec 27 2008 12:00AM
128,147-555-0160,3,Nov 27 2008 12:00AM
129,901-555-0125,1,Dec 15 2008 12:00AM
130,238-555-0116,3,Feb  6 2009 12:00AM
131,164-555-0114,3,Feb  8 2009 12:00AM
132,508-555-0129,1,Feb 15 2009 12:00AM
133,454-555-0119,3,Jan  3 2009 12:00AM
134,260-555-0119,1,Jan  7 2009 12:00AM
135,115-555-0179,3,Nov 27 2008 12:00AM
136,492-555-0174,1,Dec  4 2009 12:00AM
137,106-555-0120,3,Feb 16 2009 12:00AM
138,587-555-0114,1,Jan 28 2009 12:00AM
139,497-555-0181,1,Dec 30 2009 12:00AM
140,129-555-0199,1,Jan 15 2010 12:00AM
141,590-555-0152,3,Jan 17 2010 12:00AM
142,306-555-0186,1,Feb 25 2010 12:00AM
143,491-555-0183,1,Feb  6 2010 12:00AM
144,727-555-0112,1,Jan 10 2009 12:00AM
145,352-555-0138,1,Jan 20 2009 12:00AM
146,952-555-0178,1,Nov 30 2008 12:00AM
147,896-555-0168,3,Dec 19 2008 12:00AM
148,571-555-0179,3,Jan  7 2009 12:00AM
149,118-555-0110,1,Jan 24 2009 12:00AM
150,296-555-0121,1,Feb 19 2009 12:00AM
151,751-555-0134,1,Feb 12 2009 12:00AM
152,965-555-0155,1,Jan 25 2009 12:00AM
153,319-555-0139,3,Dec  9 2008 12:00AM
154,226-555-0197,3,Dec 16 2008 12:00AM
155,935-555-0116,3,Dec 28 2008 12:00AM
156,200-555-0117,1,Jan  4 2009 12:00AM
157,696-555-0157,3,Jan 27 2009 12:00AM
158,991-555-0184,1,Feb 28 2009 12:00AM
159,110-555-0115,3,Feb  9 2009 12:00AM
160,350-555-0167,1,Jan 14 2009 12:00AM
161,669-555-0150,3,Dec  8 2008 12:00AM
162,777-555-0141,3,Dec 27 2008 12:00AM
163,819-555-0198,3,Feb  1 2009 12:00AM
164,207-555-0192,1,Feb 27 2009 12:00AM
165,200-555-0112,1,Jan 15 2009 12:00AM
166,552-555-0111,3,Feb 14 2009 12:00AM
167,166-555-0162,1,Nov 25 2008 12:00AM
168,609-555-0179,3,Nov 30 2008 12:00AM
169,639-555-0164,1,Dec  7 2008 12:00AM
170,518-555-0199,1,Dec 14 2008 12:00AM
171,373-555-0142,3,Dec 26 2008 12:00AM
172,234-555-0169,1,Jan  9 2009 12:00AM
173,241-555-0191,1,Jan 14 2009 12:00AM
174,533-555-0111,1,Jan 20 2009 12:00AM
175,678-555-0110,3,Jan 26 2009 12:00AM
176,118-555-0177,3,Feb  7 2009 12:00AM
177,517-555-0122,3,Feb 14 2009 12:00AM
178,663-555-0172,1,Feb 24 2009 12:00AM
179,139-555-0131,3,Feb 26 2009 12:00AM
180,809-555-0133,3,Feb 13 2009 12:00AM
181,218-555-0126,3,Dec  2 2008 12:00AM
182,143-555-0173,1,Dec 21 2008 12:00AM
183,119-555-0192,1,Jan 15 2009 12:00AM
184,201-555-0163,1,Feb  2 2009 12:00AM
185,165-555-0113,1,Feb 21 2009 12:00AM
186,810-555-0178,1,Feb  1 2009 12:00AM
187,286-555-0189,3,Dec  2 2008 12:00AM
188,808-555-0172,1,Dec 20 2008 12:00AM
189,540-555-0191,3,Jan  8 2009 12:00AM
190,589-555-0147,1,Jan 26 2009 12:00AM
191,450-555-0152,1,Feb 19 2009 12:00AM
192,142-555-0139,3,Feb 26 2009 12:00AM
193,668-555-0130,3,Nov 29 2008 12:00AM
194,818-555-0192,1,Dec  5 2008 12:00AM
195,714-555-0138,3,Dec 10 2008 12:00AM
196,793-555-0179,1,Dec 17 2008 12:00AM
197,373-555-0137,1,Dec 24 2008 12:00AM
198,845-555-0184,3,Dec 28 2008 12:00AM
199,476-555-0119,1,Jan  5 2009 12:00AM
200,158-555-0191,1,Jan 10 2009 12:00AM
201,110-555-0182,1,Jan 22 2009 12:00AM
202,368-555-0113,3,Jan 29 2009 12:00AM
203,949-555-0174,3,Feb 17 2009 12:00AM
204,310-555-0117,3,Mar  1 2009 12:00AM
205,289-555-0196,1,Feb 19 2009 12:00AM
206,413-555-0136,1,Nov 25 2008 12:00AM
207,332-555-0150,3,Nov 25 2008 12:00AM
208,391-555-0138,1,Jan  1 2009 12:00AM
209,446-555-0118,3,Jan 20 2009 12:00AM
210,319-555-0126,1,Feb 13 2009 12:00AM
211,869-555-0125,3,Feb 21 2009 12:00AM
212,164-555-0164,3,Dec  2 2008 12:00AM
213,325-555-0137,3,Feb 16 2010 12:00AM
214,181-555-0124,1,Jan 26 2009 12:00AM
215,147-555-0179,1,Jan  8 2009 12:00AM
216,420-555-0173,1,Dec 21 2008 12:00AM
217,204-555-0115,1,Dec 28 2008 12:00AM
218,910-555-0116,3,Dec  9 2008 12:00AM
219,205-555-0132,1,Jan 15 2009 12:00AM
220,746-555-0164,3,Feb  2 2009 12:00AM
221,575-555-0126,1,Feb 27 2009 12:00AM
222,992-555-0194,1,Dec  5 2008 12:00AM
223,500-555-0159,1,Jan 19 2009 12:00AM
224,148-555-0145,1,Dec 31 2008 12:00AM
225,438-555-0172,3,Feb  6 2009 12:00AM
226,313-555-0196,1,Feb 24 2009 12:00AM
227,110-555-0112,1,Nov 25 2009 12:00AM
228,846-555-0157,1,Dec  7 2008 12:00AM
229,295-555-0161,1,Feb  9 2010 12:00AM
230,539-555-0149,3,Feb 26 2010 12:00AM
231,228-555-0159,1,Feb 28 2010 12:00AM
232,720-555-0158,3,Jan 20 2010 12:00AM
233,583-555-0182,3,Dec 14 2009 12:00AM
234,615-555-0110,1,Jan 24 2009 12:00AM
235,523-555-0175,1,Nov 29 2008 12:00AM
236,955-555-0131,3,Feb 18 2009 12:00AM
237,806-555-0136,3,Jan 30 2009 12:00AM
238,153-555-0186,3,Dec 25 2008 12:00AM
239,522-555-0147,3,Dec 18 2008 12:00AM
240,778-555-0141,3,Dec  6 2008 12:00AM
241,646-555-0185,3,Jan 23 2009 12:00AM
242,602-555-0194,1,Dec 11 2008 12:00AM
243,920-555-0177,1,Dec 30 2008 12:00AM
244,935-555-0199,3,Jan 17 2009 12:00AM
245,822-555-0145,1,Feb 11 2009 12:00AM
246,117-555-0185,3,Feb  4 2009 12:00AM
247,393-555-0186,3,Feb 22 2009 12:00AM
248,927-555-0150,3,Mar  1 2009 12:00AM
249,248-555-0134,3,Dec 18 2008 12:00AM
250,210-555-0193,3,Feb 18 2011 12:00AM
251,309-555-0170,3,Feb  3 2009 12:00AM
252,848-555-0163,1,Feb 21 2009 12:00AM
253,916-555-0165,1,Dec 10 2009 12:00AM
254,520-555-0177,3,Dec 28 2009 12:00AM
255,230-555-0144,1,Jan  4 2010 12:00AM
256,163-555-0147,1,Jan 16 2010 12:00AM
257,265-555-0195,3,Jan 20 2010 12:00AM
258,842-555-0158,3,Jan 24 2010 12:00AM
259,151-555-0113,3,Mar  2 2010 12:00AM
260,125-555-0196,1,Nov 29 2010 12:00AM
261,370-555-0163,3,Dec 18 2010 12:00AM
262,477-555-0132,3,Jan  5 2009 12:00AM
263,685-555-0120,3,Dec  4 2008 12:00AM
264,594-555-0110,3,Jan 28 2009 12:00AM
265,656-555-0119,3,Nov 27 2008 12:00AM
266,310-555-0133,3,Feb 16 2009 12:00AM
267,654-555-0177,3,Feb  9 2009 12:00AM
268,182-555-0134,3,Jan 27 2009 12:00AM
269,166-555-0159,3,Jan  4 2009 12:00AM
270,785-555-0110,1,Jan 10 2009 12:00AM
271,653-555-0144,3,Jan 15 2009 12:00AM
272,623-555-0155,3,Dec 16 2008 12:00AM
273,716-555-0127,1,Feb  8 2011 12:00AM
274,238-555-0197,1,Dec 28 2010 12:00AM
275,257-555-0154,1,May 24 2011 12:00AM
276,883-555-0116,3,May 24 2011 12:00AM
277,517-555-0117,3,May 24 2011 12:00AM
278,922-555-0165,3,May 24 2011 12:00AM
279,664-555-0112,3,May 24 2011 12:00AM
280,340-555-0193,1,May 24 2011 12:00AM
281,330-555-0120,1,May 24 2011 12:00AM
282,185-555-0169,3,May 24 2011 12:00AM
283,740-555-0182,3,May 24 2011 12:00AM
284,615-555-0153,3,Sep 23 2012 12:00AM
285,926-555-0182,3,Mar  7 2013 12:00AM
286,1 (11) 500 555-0190,1,May 23 2013 12:00AM
287,775-555-0164,3,Apr  9 2012 12:00AM
288,1 (11) 500 555-0140,1,May 23 2013 12:00AM
289,1 (11) 500 555-0145,3,May 23 2012 12:00AM
290,1 (11) 500 555-0117,1,May 23 2012 12:00AM
291,398-555-0132,1,Apr 15 2015  4:33PM
293,747-555-0171,1,Apr 15 2015  4:33PM
295,334-555-0137,3,Apr 15 2015  4:33PM
297,599-555-0127,1,Apr 15 2015  4:33PM
299,1 (11) 500 555-0132,1,Apr 15 2015  4:33PM
301,991-555-0183,3,Apr 15 2015  4:33PM
303,959-555-0151,1,Apr 15 2015  4:33PM
305,107-555-0138,1,Apr 15 2015  4:33PM
307,158-555-0142,1,Apr 15 2015  4:33PM
309,453-555-0165,1,Apr 15 2015  4:33PM
311,554-555-0110,3,Aug  1 2011 12:00AM
313,1 (11) 500 555-0198,1,Jun 30 2013 12:00AM
315,678-555-0175,1,Jul 31 2013 12:00AM
317,571-555-0128,1,May 31 2011 12:00AM
319,440-555-0166,1,Aug  1 2011 12:00AM
321,1 (11) 500 555-0150,1,Jul 31 2012 12:00AM
323,727-555-0115,3,Jul 31 2012 12:00AM
325,197-555-0143,3,May 30 2012 12:00AM
327,492-555-0189,1,Jul 31 2013 12:00AM
329,331-555-0162,1,May 30 2013 12:00AM
331,968-555-0153,3,Jun 30 2012 12:00AM
333,845-555-0187,1,Aug  1 2011 12:00AM
335,115-555-0175,3,Mar 30 2013 12:00AM
337,555-555-0162,3,Jun 30 2013 12:00AM
339,695-555-0111,3,Jul  1 2011 12:00AM
341,447-555-0110,1,Oct 31 2011 12:00AM
343,607-555-0193,1,Jul  1 2011 12:00AM
345,699-555-0155,1,Jul  1 2011 12:00AM
347,855-555-0174,1,Jul  1 2011 12:00AM
349,1 (11) 500 555-0190,1,Jul 31 2013 12:00AM
351,781-555-0199,1,Jun 30 2012 12:00AM
353,178-555-0129,3,Jul 31 2013 12:00AM
355,614-555-0134,3,Jul  1 2011 12:00AM
357,1 (11) 500 555-0181,1,Jun 30 2013 12:00AM
359,327-555-0148,1,Jun 30 2013 12:00AM
361,922-555-0193,1,Aug  1 2011 12:00AM
363,500-555-0134,3,Jun 30 2013 12:00AM
365,717-555-0131,3,May 30 2012 12:00AM
367,883-555-0177,1,Jul  1 2011 12:00AM
369,226-555-0146,1,Jul  1 2011 12:00AM
371,149-555-0113,1,Jul  1 2011 12:00AM
373,556-555-0145,1,Jun 30 2013 12:00AM
375,129-555-0110,3,Aug  1 2011 12:00AM
377,1 (11) 500 555-0139,3,Jun 30 2013 12:00AM
379,665-555-0198,3,Jul 31 2013 12:00AM
381,818-555-0171,3,Jul 31 2012 12:00AM
383,1 (11) 500 555-0187,3,Jul 31 2013 12:00AM
385,221-555-0167,1,Jul 31 2012 12:00AM
387,121-555-0157,3,Oct 31 2011 12:00AM
389,234-555-0112,3,Aug 30 2012 12:00AM
391,583-555-0130,3,May 31 2011 12:00AM
393,790-555-0112,3,Jul 31 2013 12:00AM
395,780-555-0114,3,Aug  1 2011 12:00AM
397,640-555-0189,1,Jul 31 2012 12:00AM
399,816-555-0118,3,Aug  1 2011 12:00AM
401,134-555-0182,1,May 30 2012 12:00AM
403,752-555-0115,3,Jun 30 2012 12:00AM
405,241-555-0112,1,Oct 30 2012 12:00AM
407,1 (11) 500 555-0151,3,Jul 31 2013 12:00AM
409,1 (11) 500 555-0168,3,Jun 30 2013 12:00AM
411,584-555-0192,3,Jul  1 2011 12:00AM
413,726-555-0191,1,Jun 30 2012 12:00AM
415,1 (11) 500 555-0187,1,May 30 2012 12:00AM
417,257-555-0119,3,Oct  1 2011 12:00AM
419,1 (11) 500 555-0112,3,Jun 30 2013 12:00AM
421,916-555-0133,1,Jun 30 2012 12:00AM
423,115-555-0170,3,Jun 30 2012 12:00AM
425,1 (11) 500 555-0113,3,Jun 30 2013 12:00AM
427,396-555-0187,1,Jun 30 2012 12:00AM
429,521-555-0195,3,Feb 28 2013 12:00AM
431,1 (11) 500 555-0132,1,Jul 31 2012 12:00AM
433,1 (11) 500 555-0127,3,Jun 30 2012 12:00AM
435,1 (11) 500 555-0140,1,Jun 30 2013 12:00AM
437,277-555-0169,1,Jul  1 2011 12:00AM
439,843-555-0175,1,May 31 2011 12:00AM
441,156-555-0126,1,Jul 31 2013 12:00AM
443,608-555-0114,3,Jul 31 2013 12:00AM
445,1 (11) 500 555-0163,3,Jul 31 2013 12:00AM
447,973-555-0112,1,May 31 2011 12:00AM
449,789-555-0189,3,Jul 31 2013 12:00AM
451,528-555-0183,1,Oct  1 2011 12:00AM
453,599-555-0160,3,Oct  1 2011 12:00AM
455,1 (11) 500 555-0177,1,Jun 30 2013 12:00AM
457,911-555-0153,1,Mar 30 2013 12:00AM
459,640-555-0198,3,Jul  1 2011 12:00AM
461,813-555-0173,1,May 30 2012 12:00AM
463,519-555-0151,3,Jul 31 2013 12:00AM
465,156-555-0111,1,Jul  1 2011 12:00AM
467,144-555-0175,3,May 30 2013 12:00AM
469,795-555-0116,3,Jul  1 2011 12:00AM
471,449-555-0176,3,Jul 31 2012 12:00AM
473,384-555-0169,3,Jun 30 2012 12:00AM
475,471-555-0181,1,Jun 30 2013 12:00AM
477,280-555-0124,1,Aug  1 2011 12:00AM
479,609-555-0186,1,Jul 31 2013 12:00AM
481,1 (11) 500 555-0136,1,Jun 30 2013 12:00AM
483,992-555-0111,3,May 31 2011 12:00AM
485,176-555-0136,3,May 31 2011 12:00AM
487,264-555-0143,3,May 31 2011 12:00AM
489,972-555-0163,1,Jun 30 2013 12:00AM
491,357-555-0161,1,Jul 31 2012 12:00AM
493,121-555-0121,3,Jul  1 2011 12:00AM
495,126-555-0172,1,May 31 2011 12:00AM
497,763-555-0145,3,Jul  1 2011 12:00AM
499,838-555-0147,1,Aug  1 2011 12:00AM
501,332-555-0142,3,Jul 31 2013 12:00AM
503,688-555-0113,3,Jul 31 2012 12:00AM
505,383-555-0117,3,Jul 31 2012 12:00AM
507,1 (11) 500 555-0122,1,Jun 30 2013 12:00AM
509,371-555-0143,1,Jul 31 2012 12:00AM
511,844-555-0112,3,Aug  1 2011 12:00AM
513,954-555-0145,3,Aug 30 2013 12:00AM
515,229-555-0114,3,Jul 31 2012 12:00AM
517,340-555-0131,3,May 31 2011 12:00AM
519,545-555-0183,3,Aug  1 2011 12:00AM
521,962-555-0166,1,Jul  1 2011 12:00AM
523,494-555-0134,3,Oct  1 2011 12:00AM
525,163-555-0155,3,Jul 31 2012 12:00AM
527,162-555-0166,1,Oct  1 2011 12:00AM
529,513-555-0149,3,Jun 30 2013 12:00AM
531,1 (11) 500 555-0184,1,Jun 30 2013 12:00AM
